t,name,x,y
0.0,obstacle,2.466,1.273
0.06,obstacle,2.466,1.273
0.12,obstacle,2.466,1.273
0.17,obstacle,2.466,1.273
0.23,obstacle,2.466,1.273
0.28,obstacle,2.466,1.273
0.34,obstacle,2.466,1.273
0.4,obstacle,2.466,1.273
0.45,obstacle,2.466,1.273
0.51,obstacle,2.466,1.273
0.57,obstacle,2.466,1.273
0.62,obstacle,2.466,1.273
0.68,obstacle,2.466,1.273
0.74,obstacle,2.466,1.273
0.8,obstacle,2.466,1.273
0.85,obstacle,2.466,1.273
0.91,obstacle,2.466,1.273
0.96,obstacle,2.466,1.273
1.02,obstacle,2.466,1.273
1.07,obstacle,2.466,1.273
1.13,obstacle,2.466,1.273
1.19,obstacle,2.466,1.273
1.24,obstacle,2.466,1.273
1.3,obstacle,2.466,1.273
1.36,obstacle,2.466,1.273
1.41,obstacle,2.466,1.273
1.47,obstacle,2.466,1.273
1.53,obstacle,2.466,1.273
1.58,obstacle,2.466,1.273
1.64,obstacle,2.466,1.273
1.7,obstacle,2.466,1.273
1.75,obstacle,2.466,1.273
1.81,obstacle,2.466,1.273
1.87,obstacle,2.466,1.273
1.92,obstacle,2.466,1.273
1.98,obstacle,2.466,1.273
2.04,obstacle,2.466,1.273
2.1,obstacle,2.466,1.273
2.15,obstacle,2.466,1.273
2.21,obstacle,2.466,1.273
2.27,obstacle,2.466,1.273
2.32,obstacle,2.466,1.273
2.38,obstacle,2.466,1.273
2.44,obstacle,2.466,1.273
2.49,obstacle,2.466,1.273
2.55,obstacle,2.466,1.273
2.6,obstacle,2.466,1.273
2.66,obstacle,2.466,1.273
2.72,obstacle,2.466,1.273
2.77,obstacle,2.466,1.273
2.83,obstacle,2.466,1.273
2.89,obstacle,2.466,1.273
2.94,obstacle,2.466,1.273
3.0,obstacle,2.466,1.273
3.06,obstacle,2.466,1.273
3.11,obstacle,2.466,1.273
3.17,obstacle,2.466,1.273
3.23,obstacle,2.466,1.273
3.28,obstacle,2.466,1.273
3.34,obstacle,2.466,1.273
3.4,obstacle,2.466,1.273
3.46,obstacle,2.466,1.273
3.51,obstacle,2.466,1.273
3.57,obstacle,2.466,1.273
3.63,obstacle,2.466,1.273
3.69,obstacle,2.466,1.273
3.74,obstacle,2.466,1.273
3.8,obstacle,2.466,1.273
3.85,obstacle,2.466,1.273
3.91,obstacle,2.466,1.273
3.97,obstacle,2.466,1.273
