t,name,x,y
0.01,obstacle,2.466,1.273
0.06,obstacle,2.466,1.273
0.12,obstacle,2.466,1.273
0.18,obstacle,2.466,1.273
0.24,obstacle,2.466,1.273
0.29,obstacle,2.466,1.273
0.35,obstacle,2.466,1.273
0.4,obstacle,2.466,1.273
0.46,obstacle,2.466,1.273
0.52,obstacle,2.466,1.273
0.57,obstacle,2.466,1.273
0.63,obstacle,2.466,1.273
0.69,obstacle,2.466,1.273
0.74,obstacle,2.466,1.273
0.8,obstacle,2.466,1.273
0.86,obstacle,2.466,1.273
0.91,obstacle,2.466,1.273
0.97,obstacle,2.466,1.273
1.03,obstacle,2.466,1.273
1.08,obstacle,2.466,1.273
1.14,obstacle,2.466,1.273
1.2,obstacle,2.466,1.273
1.25,obstacle,2.466,1.273
1.31,obstacle,2.466,1.273
1.37,obstacle,2.466,1.273
1.43,obstacle,2.466,1.273
1.48,obstacle,2.466,1.273
1.54,obstacle,2.466,1.273
1.6,obstacle,2.466,1.273
1.66,obstacle,2.466,1.273
1.71,obstacle,2.466,1.273
1.77,obstacle,2.466,1.273
1.82,obstacle,2.466,1.273
1.88,obstacle,2.466,1.273
1.94,obstacle,2.466,1.273
2.0,obstacle,2.466,1.273
2.05,obstacle,2.466,1.273
2.11,obstacle,2.466,1.273
2.17,obstacle,2.466,1.273
2.23,obstacle,2.466,1.273
2.28,obstacle,2.466,1.273
2.34,obstacle,2.466,1.273
2.4,obstacle,2.466,1.273
2.45,obstacle,2.466,1.273
2.51,obstacle,2.466,1.273
2.57,obstacle,2.466,1.273
2.62,obstacle,2.466,1.273
2.68,obstacle,2.466,1.273
2.74,obstacle,2.466,1.273
2.8,obstacle,2.466,1.273
2.85,obstacle,2.466,1.273
2.91,obstacle,2.466,1.273
2.97,obstacle,2.466,1.273
3.02,obstacle,2.466,1.273
3.08,obstacle,2.466,1.273
3.13,obstacle,2.466,1.273
3.19,obstacle,2.466,1.273
3.25,obstacle,2.466,1.273
